t (s);T (°C)
8177;28,0802
8187;28,0604
8197;28,0501
8207;28,0326
8217;28,017
8227;27,9914
8237;27,9818
8247;27,969
8257;27,9543
8267;27,9342
8277;27,9225
8287;27,9039
8297;27,8842
8307;27,885
8317;27,8633
8327;27,8417
8337;27,832
8347;27,8192
8357;27,8046
8367;27,7875
8377;27,7696
8387;27,7524
8397;27,7366
8407;27,7179
8417;27,7058
8427;27,6943
8437;27,6783
8447;27,6701
8457;27,6511
8467;27,6329
8477;27,6196
8487;27,6076
8497;27,5901
8507;27,5748
8517;27,5594
8527;27,539
8537;27,531
8547;27,5172
8557;27,5033
8567;27,4881
8577;27,4717
8587;27,454
8597;27,4442
8607;27,4274
8617;27,4146
8627;27,4018
8637;27,3857
8647;27,3693
8657;27,3554
8667;27,3424
8677;27,3228
8687;27,3064
8697;27,2967
8707;27,2819
8717;27,2711
8727;27,255
8737;27,2397
8747;27,2264
8757;27,2152
8767;27,1993
8777;27,1868
8787;27,1807
8797;27,1569
8807;27,1459
8817;27,1298
8827;27,1133
8837;27,1018
8847;27,0934
8857;27,0742
8867;27,0581
8877;27,0551
8887;27,0289
8897;27,0155
8907;27,0037
8917;26,9902
8927;26,9762
8937;26,9593
8947;26,948
8957;26,9335
8967;26,9174
8977;26,9027
8987;26,8916
8997;26,8754
9007;26,866
9017;26,8514
9027;26,8398
9037;26,8231
9047;26,8093
9057;26,7947
9067;26,7847
9077;26,7668
9087;26,7562
9097;26,7422
9107;26,7277
9117;26,7145
9127;26,7035
9137;26,6874
9147;26,6774
9157;26,6675
9167;26,6528
9177;26,6417
9187;26,6293
9197;26,6152
9207;26,603
9217;26,5917
9227;26,5788
9237;26,5646
9247;26,5538
9257;26,5402
9267;26,5254
9277;26,5137
9287;26,5019
9297;26,4893
9307;26,4779
9317;26,4636
9327;26,4491
9337;26,4382
9347;26,4262
9357;26,4134
9367;26,4039
9377;26,3871
9387;26,3784
9397;26,3663
9407;26,3552
9417;26,34
9427;26,3289
9437;26,3162
9447;26,3036
9457;26,2952
9467;26,2794
9477;26,2702
9487;26,2587
9497;26,2433
9507;26,2344
9517;26,2192
9527;26,2093
9537;26,1992
9547;26,185
9557;26,1731
9567;26,165
9577;26,1508
9587;26,1403
9597;26,128
9607;26,1155
9617;26,1058
9627;26,0928
9637;26,0818
9647;26,0723
9657;26,0589
9667;26,0481
9677;26,0351
9687;26,0236
9697;26,0147
9707;26,0016
9717;25,9851
9727;25,9782
9737;25,9687
9747;25,9558
9757;25,9444
9767;25,9334
9777;25,9227
9787;25,9125
9797;25,9026
9807;25,8907
9817;25,8802
9827;25,8685
9837;25,8569
9847;25,8456
9857;25,8339
9867;25,824
9877;25,8145
9887;25,8025
9897;25,7922
9907;25,7817
9917;25,7692
9927;25,7598
9937;25,7471
9947;25,7376
9957;25,7246
9967;25,7149
9977;25,704
9987;25,694
9997;25,6832
10007;25,6729
10017;25,6617
10027;25,6533
10037;25,6407
10047;25,6246
10057;25,6196
10067;25,611
10077;25,5975
10087;25,5835
10097;25,5812
10107;25,5684
10117;25,5575
10127;25,5481
10137;25,5385
10147;25,523
10157;25,5201
10167;25,5076
10177;25,4969
10187;25,4848
10197;25,4765
10207;25,4655
10217;25,4561
10227;25,4437
10237;25,4342
10247;25,4258
10257;25,414
10267;25,4057
10277;25,3944
10287;25,383
10297;25,3765
10307;25,3651
10317;25,3577
10327;25,3444
10337;25,3345
10347;25,3253
10357;25,3137
10367;25,3038
10377;25,2962
10387;25,2861
10397;25,2754
10407;25,2646
10417;25,2577
10427;25,2453
10437;25,2363
10447;25,2265
10457;25,219
10467;25,2083
10477;25,1983
10487;25,1897
10497;25,1781
10507;25,1725
10517;25,1592
10527;25,15
10537;25,1398
10547;25,132
10557;25,1244
10567;25,1114
10577;25,1027
10587;25,091
10597;25,0815
10607;25,0722
10617;25,0625
10627;25,0523
10637;25,0456
10647;25,0345
10657;25,0265
10667;25,0183
10677;25,0098
10687;25,0003
10697;24,9912
10707;24,9842
10717;24,9732
10727;24,9641
10737;24,9544
10747;24,9456
10757;24,9382
10767;24,9308
10777;24,9215
10787;24,9142
10797;24,9004
10807;24,8947
10817;24,8862
10827;24,8761
10837;24,8659
10847;24,858
10857;24,8498
10867;24,8409
10877;24,8328
10887;24,8223
10897;24,8162
10907;24,8078
10917;24,7979
10927;24,7906
10937;24,7805
10947;24,7724
10957;24,7643
10967;24,7566
10977;24,749
10987;24,7406
10997;24,7308
11007;24,7196
11017;24,7161
11027;24,7068
11037;24,6986
11047;24,691
11057;24,6979
11067;24,6752
