t (s);T (°C)
15975;22,4469
15985;22,4368
15995;22,4308
16005;22,4157
16015;22,4082
16025;22,4053
16035;22,4026
16045;22,3973
16055;22,3916
16065;22,3855
16075;22,3822
16085;22,3733
16095;22,3679
16105;22,36
16115;22,3507
16125;22,3479
16135;22,3411
16145;22,3346
16155;22,3262
16165;22,3207
16175;22,3127
16185;22,3051
16195;22,2958
16205;22,2898
16215;22,2826
16225;22,2762
16235;22,2671
16245;22,2643
16255;22,2574
16265;22,2526
16275;22,249
16285;22,2411
16295;22,236
16305;22,2254
16315;22,2187
16325;22,2123
16335;22,2058
16345;22,1977
16355;22,1938
16365;22,1866
16375;22,1718
16385;22,1788
16395;22,1725
16405;22,1733
16415;22,1619
16425;22,1513
16435;22,138
16445;22,1388
16455;22,1326
16465;22,1151
16475;22,1108
16485;22,1051
16495;22,0969
16505;22,078
16515;22,0819
16525;22,0724
16535;22,0562
16545;22,0378
16555;22,0354
16565;22,0259
16575;22,0432
16585;22,0275
16595;22,0322
16605;22,035
16615;22,0204
16625;21,9977
16635;21,9709
16645;21,966
16655;21,9541
16665;21,9412
16675;21,9342
16685;21,9363
16695;21,9403
16705;21,9483
16715;21,9539
16725;21,9564
16735;21,955
16745;21,9541
16755;21,9489
16765;21,9463
16775;21,9391
16785;21,9312
16795;21,9259
16805;21,9143
16815;21,903
16825;21,8954
16835;21,8866
16845;21,881
16855;21,8788
16865;21,875
16875;21,8719
16885;21,867
16895;21,8591
16905;21,8556
16915;21,8597
16925;21,8446
16935;21,8379
16945;21,8352
16955;21,8311
16965;21,8289
16975;21,8228
16985;21,8188
16995;21,8103
17005;21,8036
17015;21,7999
17025;21,7941
17035;21,7869
17045;21,7807
17055;21,7729
17065;21,7294
17075;21,7126
17085;21,7118
17095;21,7174
17105;21,7214
17115;21,7253
17125;21,7261
17135;21,7254
17145;21,7245
17155;21,71
17165;21,7061
17175;21,686
17185;21,6753
17195;21,6743
17205;21,6784
17215;21,6868
17225;21,6813
17235;21,6781
17245;21,6724
17255;21,6667
17265;21,6613
17275;21,6653
17285;21,6517
17295;21,6452
17305;21,6394
17315;21,6245
17325;21,6293
17335;21,6269
17345;21,6235
17355;21,6179
17365;21,6141
17375;21,6056
17385;21,6045
17395;21,5954
17405;21,5901
17415;21,5847
17425;21,5823
17435;21,5779
17445;21,5732
17455;21,5642
17465;21,5588
17475;21,5551
17485;21,547
17495;21,5417
17505;21,5312
17515;21,5053
17525;21,5054
17535;21,5143
17545;21,5148
17555;21,5141
17565;21,5123
17575;21,5063
17585;21,5014
17595;21,4882
17605;21,4841
17615;21,4783
17625;21,4786
17635;21,4751
17645;21,4711
17655;21,4678
17665;21,4645
17675;21,4589
17685;21,4591
17695;21,451
17705;21,4446
17715;21,4379
17725;21,4252
17735;21,4243
17745;21,4241
17755;21,4238
17765;21,4181
17775;21,4146
17785;21,4138
17795;21,405
17805;21,4004
17815;21,3943
17825;21,3901
17835;21,385
17845;21,3774
17855;21,3765
17865;21,3708
17875;21,3623
17885;21,3484
17895;21,3522
17905;21,3466
17915;21,3451
17925;21,3409
17935;21,3339
17945;21,3305
17955;21,3266
17965;21,3239
17975;21,3216
17985;21,3176
17995;21,3151
18005;21,3111
18015;21,3094
18025;21,3071
18035;21,3008
18045;21,3002
18055;21,2961
18065;21,284
18075;21,2557
18085;21,2542
18095;21,2573
18105;21,2577
18115;21,2557
18125;21,2557
18135;21,2475
18145;21,2529
18155;21,2478
18165;21,2472
18175;21,2381
18185;21,233
18195;21,234
18205;21,2317
18215;21,2277
18225;21,2248
18235;21,2221
18245;21,22
18255;21,2124
18265;21,2066
18275;21,1997
18285;21,1965
18295;21,1953
18305;21,1952
18315;21,1921
18325;21,1843
18335;21,1787
18345;21,1769
18355;21,1747
18365;21,1709
18375;21,1692
18385;21,1654
18395;21,1633
18405;21,1601
18415;21,1542
18425;21,1467
18435;21,1435
18445;21,1371
18455;21,1332
18465;21,1329
18475;21,1273
18485;21,1226
18495;21,1205
18505;21,1166
18515;21,112
18525;21,1118
18535;21,1099
18545;21,1001
18555;21,1024
18565;21,0971
18575;21,0946
18585;21,0902
18595;21,0899
18605;21,0824
18615;21,0825
18625;21,0818
18635;21,0733
18645;21,0728
18655;21,0693
18665;21,065
18675;21,0619
18685;21,055
18695;21,0521
18705;21,0497
18715;21,0477
18725;21,0461
18735;21,0408
18745;21,0397
18755;21,0205
18765;21,0339
18775;21,031
18785;21,0258
18795;21,0237
18805;21,0189
18815;21,0186
18825;21,0163
18835;21,0128
18845;21,0032
18855;21,0022
18865;20,9992
18875;20,9977
18885;20,9947
18895;20,9902
18905;20,987
18915;20,9834
18925;20,9806
18935;20,9781
18945;20,9742
18955;20,9662
18965;20,9602
18975;20,9554
18985;20,9533
18995;20,9549
19005;20,9571
19015;20,9535
19025;20,9511
19035;20,95
19045;20,948
19055;20,9448
19065;20,9419
19075;20,9367
19085;20,9333
19095;20,9309
19105;20,9294
19115;20,9237
19125;20,9239
19135;20,9207
19145;20,9161
19155;20,9116
19165;20,9095
19175;20,9068
19185;20,9044
19195;20,9019
19205;20,8985
19215;20,8958
19225;20,8941
19235;20,8908
19245;20,8876
19255;20,8875
19265;20,8843
19275;20,8808
19285;20,8784
19295;20,8783
19305;20,8777
19315;20,8736
19325;20,8722
19335;20,8676
19345;20,8644
19355;20,8607
19365;20,8584
19375;20,8538
19385;20,8557
19395;20,849
19405;20,8464
19415;20,8441
19425;20,8418
19435;20,8388
19445;20,8403
19455;20,8337
19465;20,832
19475;20,8268
19485;20,8226
19495;20,8205
19505;20,8192
19515;20,8196
19525;20,8153
19535;20,8116
19545;20,7977
19555;20,781
19565;20,775
